item_uuid	service_item_name	Did Lucy answer the call in EN? (Y/N)	Did Lucy end the call in CN? (Y/N)	Was call redirected (Y/N)	Did Service Ticket matched (y/n)	FCS1 Service Item	FCS1 Remarks (please highlight the cell when transcript did not match your dialog)	found in job_items.txt
2768da54-676d-434b-af2c-95c5b9643e04	Kitchen Fridge 	Y	N	N	N	Can't close the minibar door	"fridge. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, can you help to refill the kitchen fridge? **Concierge:** Certainly! I'll have someone send someone to your room right away to refill the refrigerator. Do you need anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay! **Guest:** (音乐) **Concierge:** Goodbye then(ms. Aida)"	
c45ec11d-bb0c-40ce-ae28-0f72a8c7451e	Kitchen Light Fused / Flickering	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, I can see that the kitchen light is flickering. **Concierge:** We'll send someone to fix the problem right away! Can I help with anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
03dfa134-0a84-4e29-bc38-3632c93722f6	Kitchen Oven Light Fused	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, the kitchen oven light is fused. **Concierge:** We'll send someone to fix that right away! Can I help with anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
c11aed19-8bfd-41f0-9a2b-53ea30c13c1b	Kitchen Pipe Burst / Leaking	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, the kitchen pipe is leaking. **Concierge:** We'll send someone to fix that right away! Can I help with anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
4659945e-d25f-4076-97c5-3928ff8d756f	Kitchen Power Tripped	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hello, I think the kitchen power is tripped. **Concierge:** We'll send someone to fix that right away! Can I help with anything else? **Guest:** Now, thank you. **Concierge:** Thank you, have a good stay"	
f439f5e8-1436-4a32-b8fc-1220de24b1a9	Kitchen replace Busted Light in Exhaust Hood	Y	N	N	N	Kitchen Air Vent Rusty	"kitchen exhaust. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, can you help to see the kitchen exhaust hood and replace the busted light? **Concierge:** Of course! I'll send someone up right away to fix that for you. Can I help with anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
985ee42d-a37a-46ee-ad5e-0032ce735bbc	L2 Walkway side glass Panel to Clean	Y	N	N	N	Make up Room	"send someone to clean. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, can you send someone to clean the walkway side glass at level 2? **Concierge:** Of course! We'll arrange for that right away. Is there anything else you need assistance with? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
7fc9b266-4be1-40cc-81da-10e3ad11230a	L9 Office to clean	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, can you clean the office in level 9? **Concierge:** Of course! I'll have someone come by shortly to clean the office on your behalf. Is there anything else you need assistance with? **Guest:** No, thank you. **Concierge:** Thank you, and take care"	
dc64c3dc-4590-46b7-89c7-4a4cc450e225	LED Light around Techno Wall not Working	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, the LED light around Techno wall is not working. **Concierge:** We'll send someone to fix that right away. Can I help with anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
ca3980ab-c865-4b3b-a1e5-8e749ce6f1b4	Lift Door Not Fully Closed	Y	N	N	N	Need Assistance	"others. **Concierge:** Hello ms. Aida one, this is Lucy at the front desk. How may I help you? **Guest:** Hi, the lift door is not fully closed. **Concierge:** We'll send someone to fix that right away. Can I help with anything else? **Guest:** No, thank you. **Concierge:** Thank you, have a good stay"	
