UUID,JO Service Item ,Variant Info
c50f0e74-00bb-4156-a781-f0dbab3a2008,1st Wake up call ,
c50f0e74-00bb-4156-a781-f0dbab3a2008,, 1st call for wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,, 1st wake up
c50f0e74-00bb-4156-a781-f0dbab3a2008,, 1st Wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,, 1st wake-up
c50f0e74-00bb-4156-a781-f0dbab3a2008,, 1st wakeup call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,1st wake-up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,1st WUC三次未通转值班经理
c50f0e74-00bb-4156-a781-f0dbab3a2008,,1st WUC手动呼叫最多3次
c50f0e74-00bb-4156-a781-f0dbab3a2008,,1st WUC手动拨打3次就停
c50f0e74-00bb-4156-a781-f0dbab3a2008,,1st WUC手动通话3次上限
c50f0e74-00bb-4156-a781-f0dbab3a2008,,1st WUC手动通话不能超过3次
c50f0e74-00bb-4156-a781-f0dbab3a2008,,alarm call at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,alarm call first
c50f0e74-00bb-4156-a781-f0dbab3a2008,,alert me at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,arrange my first wake up
c50f0e74-00bb-4156-a781-f0dbab3a2008,,arrange wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call for wake up first
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call for wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call me at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call me at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call me in the early morning
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call to wake at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call to wake up
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call to wake up
c50f0e74-00bb-4156-a781-f0dbab3a2008,,call wakeup one
c50f0e74-00bb-4156-a781-f0dbab3a2008,,clock wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,,earliest wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,early call at 
c50f0e74-00bb-4156-a781-f0dbab3a2008,,early wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first alarm call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first call of the day
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first time to wake
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first time wake up
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first wake call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first wake up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first wakeup
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first wake-up call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,first wakeup ring
c50f0e74-00bb-4156-a781-f0dbab3a2008,,First WUC手动通话最多3次
c50f0e74-00bb-4156-a781-f0dbab3a2008,,front desk wake-up at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,help me wake at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,hotel call to wake me at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,initial wakeup call
c50f0e74-00bb-4156-a781-f0dbab3a2008,,morning call at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,needs wakeup at
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one call to wake
c50f0e74-00bb-4156-a781-f0dbab3a2008,,one call wake up
